Horizontal Position (cm),Angle (deg),Power (dBm)
-10,-40,-7.3
-10,-30,-5.1
-10,-20,-3.6
-10,-10,-4.1
-10,0,-4.6
-10,10,-4.9
-10,20,-4.8
-10,30,-3.8
-10,40,-6.2
-5,-40,-24.5
-5,-30,-17.6
-5,-20,-13.8
-5,-10,-12.5
-5,0,-12.8
-5,10,-15.9
-5,20,-16.3
-5,30,-15.1
-5,40,-18.2
0,-40,-19.9
0,-30,-22.8
0,-20,-20.4
0,-10,-19.6
0,0,-18.5
0,10,-19.2
0,20,-21.4
0,30,-26
0,40,-39.8
5,-40,-26.5
5,-30,-16
5,-20,-13.9
5,-10,-12
5,0,-12.7
5,10,-16.2
5,20,-20.8
5,30,-21.4
5,40,-23.7
10,-40,-10.7
10,-30,-5.2
10,-20,-3.8
10,-10,-4
10,0,-3.7
10,10,-3.1
10,20,-5.4
10,30,-7.9
10,40,-12.2
