"Reference","Value","Footprint","Qty","DNP","Manufacturer_Part_Number","Mouser Part Number"
"C1,C5,C6,C8","C_Polarized","libtpms:CAPPM7362X375N","4","","T520D108M2R5ATE030","80-T520D108M2R5ATE30"
"C2,C3,C4,C22,C23,C24","100n","Capacitor_SMD:C_0402_1005Metric","6","","GRM155R61E104KA87J","81-GRM155R61E104KA7J"
"C7","10u","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R60J106ME05D","81-GRM155R60J106M05D"
"C9","33n","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R61A333MA01J","81-GRM155R61A333MA1J"
"C10,C12","10p","Capacitor_SMD:C_0402_1005Metric","2","","GRM1555C1E120GA01D","81-GCM1555G1H120GA6J"
"C13","1n","Capacitor_SMD:C_0402_1005Metric","1","","GRM1555C1H102GA01D"," 81-GRM1555C1H102GA1D "
"C14","10n","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R71H103JA88D"," 81-GRM155R71H103JA8D "
"C15","1.5pF","Capacitor_SMD:C_0402_1005Metric","1","","VJ0402A1R5BXQPW1BC","77-VJ0402A1R5BXQPBC"
"C16","1.0pF","Capacitor_SMD:C_0402_1005Metric","1","","VJ0402A1R0BXQPW1BC"," 77-VJ0402A1R0BXQPBC"
"C17","2.2nF","Capacitor_SMD:C_0402_1005Metric","1","","GRM155R71H222JA01D","81-GRM36X222J50"
"C18","4.7pF","Capacitor_SMD:C_0402_1005Metric","1","","GCM1555C1H4R7BA16J"," 81-GCM1555C1H4R7BA6J "
"D1,D2","LED","LED_SMD:LED_0402_1005Metric","2","","150040GS73220 "," 710-150040GS73220 "
"IC1","NPP-301A-700AT","libtpms:SOIC127P610X280-8N","1","","NPP-301A-700AT","527-NPP-301A-700AT"
"IC2","AD8226ARMZ","libtpms:SOP65P490X110-8N","1","","AD8226ARMZ","584-AD8226ARMZ"
"J2","DEBUG_CONN","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","",""
"J3","SMA EDGE CONN","libtpms:CONN_73251-1150_MOL","1",""," EMPCB.SMAFSTJ.B.HT "," 960-EMPCB.SMAFSTJBHT "
"J4","UART_CONN","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","",""
"L1","8.2nH","Inductor_SMD:L_0402_1005Metric","1","","LQG15HS8N2H02D "," 81-LQG15HS8N2H02D "
"L2","2.7nH","Inductor_SMD:L_0402_1005Metric","1","","LQG15HN2N7C02D","81-LQG15HN2N7C02D"
"L3","3.9nH","Inductor_SMD:L_0402_1005Metric","1","","LQG15HZ3N9C02D ","81-LQG15HZ3N9C02D "
"PS1","P2110B","libtpms:P2110B","1","","P2110B","582-P2110B"
"R1","100k","Resistor_SMD:R_0402_1005Metric","1","","ERJ-U02J104X"," 667-ERJ-U02J104X "
"R3","4.3M","Resistor_SMD:R_0402_1005Metric","1","DNP","CRCW04024M32FKED "," 71-CRCW04024M32FKED "
"R4,R5","470R","Resistor_SMD:R_0402_1005Metric","2","","ERJ-2RHD471X","667-ERJ-2RHD471X"
"R6,R7","220R","Resistor_SMD:R_0402_1005Metric","2","","ERJ-2RHD2200X","667-ERJ-2RHD2200X"
"R8,R11,R14","22k","Resistor_SMD:R_0402_1005Metric","3","","ERJ-H2RD2202X","667-ERJ-H2RD2202X"
"R9","12.4k","Resistor_SMD:R_0402_1005Metric","1","DNP","ERJ-U02F1242X","667-ERJ-U02F1242X"
"R10","1k","Resistor_SMD:R_0402_1005Metric","1","","ERJ-2GEJ102X"," 667-ERJ-2GEJ102X "
"R12","5.49k","Resistor_SMD:R_0402_1005Metric","1","DNP","ERJ-2RKF5491X","667-ERJ-2RKF5491X"
"R13","49.9k","Resistor_SMD:R_0402_1005Metric","1","","ERJ-2RKF4992X","667-ERJ-2RKF4992X"
"R15","2.61k","Resistor_SMD:R_0402_1005Metric","1","DNP","ERJ-U02F2611X","667-ERJ-U02F2611X"
"S1,S5","CAS-120A1","libtpms:CAS120A1","2","","CAS-120A1","229-CAS-120A1"
"S4","Pushbutton switch","libtpms:TS2134035BK160SMTTR","1","","TS21-34-035-BK-160-SMT-TR","179-134035BK160SMTTR"
"TP1,TP2,TP3,TP4,TP5,TP6,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18","~","-- mixed values --","16","","RCT-0C ","279-RCT-0C "
"U1","STM32U031K8U6","libtpms:QFN50P500X500X60-33N-D","1","","STM32U031K8U6 "," 511-STM32U031K8U6 "
"U2","nRF24L01P","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","1","","NRF24L01P "," 949-NRF24L01P "
"U4","TLV9001IDCK","Package_TO_SOT_SMD:SOT-353_SC-70-5","1","","TLV9001IDCKR "," 595-TLV9001IDCKR "
"Y1","Crystal_16MHz","libtpms:830064296","1","","830064296 "," 710-830064296 "
